# 298 checkpoints, total 149.68 TB (149,675,743,140,895 bytes)
#           bytes	       GB	path
   145452775027	   145.45	gs://marin-us-central1/checkpoints/code-v3-p3-lowreg-cosine_d0p95-qwen3-0.6b-base-6ec9a9/
   145452771381	   145.45	gs://marin-us-central1/checkpoints/code-v3-p2c-wd0p1_wu0p03-qwen3-0.6b-base-b03840/
   145452766201	   145.45	gs://marin-us-central1/checkpoints/code-v3-p3-lowreg-linear_d0p9-qwen3-0.6b-base-1a39a6/
   145452766136	   145.45	gs://marin-us-central1/checkpoints/math-top3-extract-lr5e-7_bs32-qwen3-0.6b-base-e7a193/
   138358891547	   138.36	gs://marin-us-central1/checkpoints/math-top3-resili-lr3e-7_bs64-qwen3-0.6b-base-18aea6/
   138300180330	   138.30	gs://marin-us-central1/checkpoints/math-top3-resili-lr5e-6_bs64-qwen3-0.6b-base-8ae418/
   138300175764	   138.30	gs://marin-us-central1/checkpoints/math-top3-resili-lr5e-7_bs64-qwen3-0.6b-base-5e4430/
   138300173024	   138.30	gs://marin-us-central1/checkpoints/math-top3-resili-lr1e-5_bs64-qwen3-0.6b-base-a54cb2/
   138300171621	   138.30	gs://marin-us-central1/checkpoints/math-top3-resili-lr2e-8_bs64-qwen3-0.6b-base-cf95da/
   138300169010	   138.30	gs://marin-us-central1/checkpoints/math-top3-resili-lr1e-6_bs64-qwen3-0.6b-base-915808/
   138300164922	   138.30	gs://marin-us-central1/checkpoints/math-top3-resili-lr5e-7_bs64_wd01-qwen3-0.6b-base-31d6f6/
   138300161996	   138.30	gs://marin-us-central1/checkpoints/math-top3-resili-lr2e-6_bs64-qwen3-0.6b-base-4b4320/
   138300157902	   138.30	gs://marin-us-central1/checkpoints/math-top3-resili-lr5e-7_bs64_wd05-qwen3-0.6b-base-9fcfbd/
   138300157327	   138.30	gs://marin-us-central1/checkpoints/math-top3-resili-code-default-qwen3-0.6b-base-0e84c2/
   138300154437	   138.30	gs://marin-us-central1/checkpoints/math-top3-resili-lr5e-8_bs64-qwen3-0.6b-base-c37878/
   138300151176	   138.30	gs://marin-us-central1/checkpoints/math-top3-resili-lr1e-7_bs64-qwen3-0.6b-base-241995/
   138300141343	   138.30	gs://marin-us-central1/checkpoints/math-top3-resili-lr2e-5_bs64-qwen3-0.6b-base-0d7ec5/
   138300136085	   138.30	gs://marin-us-central1/checkpoints/math-top3-resili-lr2e-7_bs64-qwen3-0.6b-base-8f94d2/
   131147565931	   131.15	gs://marin-us-central1/checkpoints/medical-extract-p1-lr3e-6_bs64-qwen3-0.6b-6ac658/
   131147557651	   131.15	gs://marin-us-central1/checkpoints/medical-extract-p1-lr7e-6_bs64-qwen3-0.6b-99e2ed/
   131147548014	   131.15	gs://marin-us-central1/checkpoints/medical-extract-starter-qwen3-0.6b-sft-a952b7/
   131147546945	   131.15	gs://marin-us-central1/checkpoints/medical-extract-p1-lr2e-6_bs64-qwen3-0.6b-355d0d/
   131147542268	   131.15	gs://marin-us-central1/checkpoints/medical-extract-p1-lr1e-6_bs64-qwen3-0.6b-70a553/
   131147523190	   131.15	gs://marin-us-central1/checkpoints/medical-extract-p1-lr5e-6_bs64-qwen3-0.6b-8ce6e2/
   123994928115	   123.99	gs://marin-us-central1/checkpoints/math-mix-top5_plus_small-qwen3-0.6b-base-edef05/
   123994907282	   123.99	gs://marin-us-central1/checkpoints/math-mix-drop_offtopic_mo-qwen3-0.6b-base-33e6c0/
   109689662735	   109.69	gs://marin-us-central1/checkpoints/math-mix-v2-top3_plus_advanced-qwen3-0.6b-base-b70478/
    81079159225	    81.08	gs://marin-us-central1/checkpoints/math-mix-v2-top3_plus_best5-qwen3-0.6b-base-dcd788/
    74337561716	    74.34	gs://marin-us-central1/checkpoints/code-v3-p3-highreg-cosine_d1p0-qwen3-0.6b-base-3548d1/
    73926562398	    73.93	gs://marin-us-central1/checkpoints/code-v3-lowlr-lr1e-6_bs64-qwen3-0.6b-base-7f1279/
    73926549288	    73.93	gs://marin-us-central1/checkpoints/math-top3-extract-code-default-qwen3-0.6b-base-bf175a/
